competitions_id,teamId,team_rank,totalTeams,profile_id_str,flags,team_capacity,members_num,avg_abi,avg_qua,avg_par,country_num
14313,3319443,866,2749,pierpaolo28;kacperkubara,1,68.50 ,2,0.35 ,935.00 ,1.50 ,2
5048,331973,266,1438,nathanielblack;hchandaria,1,81.50 ,2,0.01 ,2154.00 ,1.50 ,1
5048,332045,579,1438,andredsm;suellenmotta,1,59.74 ,2,0.01 ,1947.00 ,1.00 ,1
14652,3323464,18,1475,igorkrashenyi;sakvaua;martyniuk,1,98.78 ,3,2.55 ,2032.00 ,23.67 ,1
14652,3323713,32,1475,brightertiger;moizsaifee,1,97.83 ,2,4.60 ,1306.00 ,27.50 ,1
14652,3323797,2,1475,whitebird;shentao;lanjunyelan;hesene;scusywxy,1,99.86 ,5,6.43 ,1211.20 ,21.80 ,1
14652,3323807,86,1475,ericji;oysteijo;meaninglesslives,1,94.17 ,3,2.63 ,1833.00 ,18.33 ,3
14652,3324104,12,1475,yukkyo;card7077;masaakikob,1,99.19 ,3,1.24 ,1077.00 ,7.33 ,1
5048,332464,645,1438,andreusancho;sergi2k,1,55.15 ,2,0.38 ,2381.00 ,6.50 ,1
14652,3324759,103,1475,martinid;nuller;kaglaroo,1,93.02 ,3,0.86 ,1476.67 ,12.67 ,1
14652,3324799,6,1475,wispzero;sggpls;venheads;yuratrubitsyn,1,99.59 ,4,4.54 ,1755.75 ,35.25 ,1
14652,3325048,8,1475,vaillant;felipekitamura,1,99.46 ,2,4.87 ,1935.50 ,15.50 ,2
14652,3325061,33,1475,alimbekovkz;jovannv,1,97.76 ,2,1.94 ,1223.00 ,31.00 ,1
14652,3325942,54,1475,ddanevskyi;stasian;formemorte,1,96.34 ,3,3.12 ,1556.00 ,22.33 ,2
14652,3326171,104,1475,saffronww;kingarthur7,1,92.95 ,2,2.75 ,1337.50 ,32.00 ,1
14652,3326248,30,1475,takuok;hiromoon166;ryunosukeishizaki,1,97.97 ,3,4.45 ,1223.67 ,32.00 ,1
14652,3326376,34,1475,zdaiot;xiangqianma,1,97.69 ,2,0.36 ,758.00 ,2.00 ,1
14652,3327333,115,1475,famousboy;keyspan;haoyuyang;yaz25126;teslahua,1,92.20 ,5,0.43 ,1375.60 ,3.80 ,2
14652,3327963,85,1475,sergeifironov;dimarik;hokmund,1,94.24 ,3,3.13 ,2140.33 ,25.67 ,2
14652,3329217,19,1475,soonhwankwon;ildoonet,1,98.71 ,2,3.28 ,2585.00 ,30.00 ,1
14652,3329487,149,1475,robertburbidge;darioo;gnevans;teeyee314;ajinomoto132,1,89.90 ,5,1.15 ,1758.00 ,13.60 ,3
5048,332966,1130,1438,ragondyn;blackymeow,1,21.42 ,2,0.09 ,1819.00 ,2.50 ,1
5056,333261,597,1971,xchen0012;lihao814386741,1,69.71 ,2,0.09 ,2142.50 ,3.50 ,1
14652,3333445,68,1475,dem999;elvis1992,1,95.39 ,2,0.73 ,2444.00 ,9.50 ,1
2445,3334,19,203,bmabey;ericwollesen;ronny5670,1,90.64 ,3,0.16 ,3755.00 ,1.67 ,1
14652,3334205,116,1475,ivanzhovannik;primakov;ibro45;nataliyazhovannik,1,92.14 ,4,0.27 ,1243.00 ,3.00 ,1
5229,333714,7,399,truepk;prostoblank;alexnaydenov,1,98.25 ,3,1.32 ,2173.33 ,13.00 ,2
5056,333822,1287,1971,pierceyeh;nctuwzq,1,34.70 ,2,0.02 ,1831.00 ,1.00 ,2
14420,3338239,85,866,abhishek;rinnqd,1,90.18 ,2,46.56 ,2447.50 ,110.00 ,1
14420,3338250,53,866,drhabib;bloodaxe,1,93.88 ,2,4.70 ,1367.50 ,26.00 ,2
14420,3338358,9,866,sawseen;vlad0922,1,98.96 ,2,2.57 ,2035.00 ,10.00 ,2
5056,333847,648,1971,zotsing;yangtuo,1,67.12 ,2,0.02 ,2086.00 ,6.00 ,1
14420,3338481,591,866,maksimovka;morylov,1,31.76 ,2,1.59 ,1804.00 ,21.50 ,1
14420,3338664,8,866,dmitrylarko;darraghdog;tunguz;tivfrvqhs5;christofhenkel,1,99.08 ,5,24.52 ,2101.40 ,79.60 ,3
14420,3338785,34,866,yoshitaka1105;phalanx;angelecarre;ryunosukeishizaki;jesucristo,1,96.07 ,5,5.30 ,1083.20 ,34.80 ,2
14420,3338942,3,866,yiheng;shentao;qiaojian;lanjunyelan;scusywxy,1,99.65 ,5,7.81 ,1225.00 ,24.40 ,1
14774,3338996,579,2931,shentao;currylc,1,80.25 ,2,8.03 ,1481.00 ,25.50 ,1
14420,3339231,70,866,seefun;quinwu;jionie,1,91.92 ,3,2.49 ,1510.33 ,18.33 ,1
14420,3339624,10,866,geneva;opanichev;igorkrashenyi,1,98.85 ,3,4.49 ,2875.33 ,54.00 ,2
14774,3339739,155,2931,manishym;vthotakura,1,94.71 ,2,0.38 ,1258.00 ,8.00 ,1
14774,3339787,269,2931,anandselvadurai;venkig,1,90.82 ,2,1.02 ,1213.00 ,18.50 ,1
14420,3339909,50,866,samenko;danjafish,1,94.23 ,2,1.30 ,1482.50 ,26.50 ,1
14774,3339934,1924,2931,yogeshchandra;praveenjha527,1,34.36 ,2,0.09 ,1339.00 ,3.00 ,1
14420,3340032,463,866,deepaksinghrawat;crazydiv,1,46.54 ,2,2.54 ,2041.50 ,44.00 ,1
14774,3340244,134,2931,konradb;abhishek;aakashnain,1,95.43 ,3,35.47 ,3198.33 ,104.00 ,3
